pattern,source_image,source_page,column,ocr_confidence,transcription_status
〜あとで・あとに,IMG_2695.HEIC,108,1,0.30,agent_checked
〜か〜,IMG_2695.HEIC,108,1,0.30,agent_checked
〜かた,IMG_2695.HEIC,108,1,0.30,agent_checked
〜から,IMG_2695.HEIC,108,1,0.30,agent_checked
〜が,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がある,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がいちばん,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がいる,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がきらい,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がすき,IMG_2695.HEIC,108,1,0.30,agent_checked
〜がほしい,IMG_2695.HEIC,108,1,0.30,agent_checked
〜が聞こえる,IMG_2695.HEIC,108,1,0.30,agent_checked
〜が見える,IMG_2695.HEIC,108,1,0.50,agent_checked
〜く,IMG_2695.HEIC,108,1,0.30,agent_checked
〜くする,IMG_2695.HEIC,108,1,0.50,agent_checked
〜くて,IMG_2695.HEIC,108,1,0.30,agent_checked
〜くなる,IMG_2695.HEIC,109,2,0.30,agent_checked
〜ぐらい・くらい,IMG_2695.HEIC,109,2,0.30,agent_checked
〜ごろ,IMG_2695.HEIC,109,2,0.30,agent_checked
〜たい,IMG_2695.HEIC,109,2,0.30,agent_checked
〜たことがある,IMG_2695.HEIC,109,2,0.50,agent_checked
〜たち,IMG_2695.HEIC,109,2,0.30,agent_checked
〜たり〜たりする,IMG_2695.HEIC,109,2,0.30,agent_checked
〜だけ,IMG_2695.HEIC,109,2,0.30,agent_checked
〜てある,IMG_2695.HEIC,109,2,0.30,agent_checked
〜ている,IMG_2695.HEIC,109,2,0.30,agent_checked
〜てから,IMG_2695.HEIC,109,2,0.30,agent_checked
〜てください,IMG_2695.HEIC,109,2,0.30,agent_checked
〜てくる,IMG_2695.HEIC,109,2,0.30,agent_checked
〜てはいけない,IMG_2695.HEIC,109,2,0.50,agent_checked
〜てもいい,IMG_2695.HEIC,109,2,manual,agent_checked
〜で,IMG_2695.HEIC,109,2,0.30,agent_checked
〜でしょう,IMG_2695.HEIC,109,2,0.30,agent_checked
〜です,IMG_2695.HEIC,109,2,0.30,agent_checked
〜と,IMG_2696.HEIC,110,1,0.30,agent_checked
〜と〜,IMG_2696.HEIC,110,1,0.30,agent_checked
〜と〜とどちらが,IMG_2696.HEIC,110,1,0.50,agent_checked
